constituent_id,first_gift_date,last_gift_date,lifetime_gifts,lifetime_giving,average_gift,largest_gift,donor_level,retention_status,has_open_pledge,household_id,giving_2021,giving_2022,giving_2023,giving_2024,giving_2025
41,2023-04-28,2024-12-16,8,4287.7,535.9625,768.74,Mid-level,Lapsed,0,,0,0,175.8,4111.9,0
42,2023-05-07,2025-05-23,23,90621.4,3940.06087,12135.68,Principal,Retained,0,,0,0,25727.8,48831.78,16061.82
43,2024-01-24,2025-03-15,12,12051.64,1004.303333,2470.64,Major,Retained,0,,0,0,0,11573.2,478.44
44,2023-01-30,2025-03-28,9,37870.16,4207.795556,8262.36,Principal,Retained,0,,0,0,14038.2,9908.22,13923.74
45,2021-10-01,2025-04-30,27,538951.5,19961.16667,65294.6,Principal,Retained,0,,29180.78,56134.02,51639.98,295109.08,106887.64
46,2023-08-17,2025-03-04,7,4490.3,641.4714286,896.1,Mid-level,Retained,0,,0,0,187.58,3406.62,896.1
47,2022-04-19,2024-11-28,8,1468609.88,183576.235,289646.92,Principal,Lapsed,0,,0,377420.5,80937.34,1010252.04,0
48,2024-10-26,2025-02-02,6,20899.44,3483.24,9395.2,Major,Retained,0,,0,0,0,11504.24,9395.2
49,2024-10-24,2025-01-11,2,23907.88,11953.94,14496.94,Major,Retained,0,,0,0,0,14496.94,9410.94
50,2024-10-27,2024-12-14,4,2706.88,676.72,849.62,Mid-level,Lapsed,0,,0,0,0,2706.88,0
51,2025-05-06,2025-05-06,1,1956.86,1956.86,1956.86,Mid-level,Reactivated,0,,0,0,0,0,1956.86
52,2024-01-20,2025-03-16,8,5733.54,716.6925,1657.52,Major,Retained,0,,0,0,0,4953.32,780.22
53,2022-10-06,2024-11-28,20,364853,18242.65,46784,Principal,Lapsed,0,,0,59473.88,103572.56,201806.56,0
54,2022-03-21,2025-03-25,38,747760.01,19677.895,44022.16,Principal,Retained,0,,0,195403.12,78789.3,400373.89,73193.7
55,2025-03-14,2025-05-24,9,40051.14,4450.126667,8858.22,Principal,Reactivated,0,,0,0,0,0,40051.14
56,2021-10-01,2025-03-02,22,340613.068,15482.41218,35544.06,Principal,Retained,0,,12625.9,83117.48,90497.748,148505.84,5866.1
57,2021-08-24,2025-04-27,13,261814.86,20139.60462,52939.9,Principal,Retained,0,,65737.94,29515.7,17360.72,32678.32,116522.18
58,2021-10-02,2025-03-14,29,20559.86,708.9606897,1778.52,Major,Retained,0,,1147.86,3524.5,4179.46,9997.3,1710.74
59,2022-10-02,2024-12-27,14,51330.3,3666.45,8460.54,Principal,Lapsed,0,,0,6411.48,7419.7,37499.12,0
60,2021-04-18,2025-03-14,40,499082.18,12477.0545,41738.6,Principal,Retained,0,,118174.96,66739.42,74713.38,194381.48,45072.94
61,2024-07-04,2024-10-10,7,4102.14,586.02,976.72,Mid-level,Lapsed,0,,0,0,0,4102.14,0
62,2022-08-21,2025-02-03,11,46372.12,4215.647273,9868.72,Principal,Retained,0,,0,2312.08,14277.64,28125.3,1657.1
63,2024-07-23,2025-04-17,8,156535.84,19566.98,43038.9,Principal,Retained,0,,0,0,0,118142.48,38393.36
64,2022-11-16,2025-04-20,10,154572.04,15457.204,21885.6,Principal,Retained,0,,0,45968.94,26012.34,47956.86,34633.9
65,2023-10-24,2025-01-30,5,17731.68,3546.336,8018.68,Major,Retained,0,,0,0,3003.22,12595.28,2133.18
66,2021-10-18,2024-12-23,13,12458.62,958.3553846,2236.14,Major,Lapsed,0,,2418.78,1123.94,3952.96,4962.94,0
67,2024-09-27,2025-03-28,5,4228.92,845.784,1863.56,Mid-level,Retained,0,,0,0,0,3971.62,257.3
68,2024-07-18,2024-12-27,3,46500.82,15500.27333,25625.86,Principal,Lapsed,0,,0,0,0,46500.82,0
70,2024-02-24,2025-02-03,5,20305.12,4061.024,6458.9,Major,Retained,0,,0,0,0,17619.64,2685.48
71,2024-02-22,2024-12-08,8,47592.6,5949.075,12359.14,Principal,Lapsed,0,,0,0,0,47592.6,0
72,2024-04-14,2025-04-21,18,18948.5,1052.694444,3529.64,Major,Retained,0,,0,0,0,14255.3,4693.2
74,2023-10-03,2024-10-10,4,509612.5,127403.125,191537.42,Principal,Lapsed,0,,0,0,30020.42,479592.08,0
75,2022-11-25,2024-10-02,8,37236.34,4654.5425,7374.08,Principal,Lapsed,0,,0,6039.38,4283.86,26913.1,0
76,2023-11-24,2025-03-24,11,61776.34,5616.030909,9358.08,Principal,Retained,0,,0,0,9358.08,42349.66,10068.6
77,2022-07-11,2025-03-27,8,51932.1,6491.5125,14218.86,Principal,Retained,0,,0,14573.8,12687.82,19606.98,5063.5
78,2025-04-22,2025-04-22,1,17166.4,17166.4,17166.4,Major,Reactivated,0,,0,0,0,0,17166.4
80,2022-12-28,2024-11-28,4,16433.82,4108.455,5966.24,Major,Lapsed,0,,0,3776.38,0,12657.44,0
81,2021-04-18,2025-03-13,36,135909.34,3775.259444,9707.7,Principal,Retained,0,,30581.28,30166.44,9327,52654.08,13180.54
82,2023-01-02,2025-03-10,9,157765.106,17529.45622,29088.26,Principal,Retained,0,,0,0,61575.78,67440.026,28749.3
83,2022-11-28,2024-10-10,5,71156.42,14231.284,23147.56,Principal,Lapsed,0,,0,17858.8,0,53297.62,0
84,2024-04-13,2025-04-20,6,3198.14,533.0233333,991.4,Mid-level,Retained,0,,0,0,0,1668.22,1529.92
85,2022-01-19,2024-11-29,7,7095.08,1013.582857,1629.02,Major,Lapsed,0,,0,2456.82,0,4638.26,0
86,2021-07-13,2025-03-20,13,45578.88,3506.067692,7746.54,Principal,Retained,0,,5890.18,3087.6,0,35663.82,937.28
87,2023-11-07,2024-10-08,2,5057.62,2528.81,3469.94,Major,Lapsed,0,,0,0,1587.68,3469.94,0
88,2024-08-03,2024-08-17,3,51247.22,17082.40667,33663.38,Principal,Lapsed,0,,0,0,0,51247.22,0
89,2024-01-22,2025-02-10,10,8739.56,873.956,2134.8,Major,Retained,0,,0,0,0,7422.06,1317.5
90,2025-05-19,2025-05-19,1,29481.84,29481.84,29481.84,Principal,Reactivated,0,,0,0,0,0,29481.84
91,2024-12-11,2024-12-25,2,180930.68,90465.34,108266.94,Principal,Lapsed,0,,0,0,0,180930.68,0
92,2024-02-24,2025-01-27,23,20683.06,899.2634783,1844.1,Major,Retained,0,,0,0,0,19643.06,1040
93,2024-09-19,2025-05-10,11,196239.42,17839.94727,32334.66,Principal,Retained,0,,0,0,0,162078.1,34161.32
94,2024-07-23,2025-03-16,9,7269.98,807.7755556,1331.5,Major,Retained,0,,0,0,0,6082.32,1187.66
95,2025-01-28,2025-05-23,3,57761.9,19253.96667,34661.2,Principal,Reactivated,0,,0,0,0,0,57761.9
96,2021-05-25,2025-02-11,12,7701.24,641.77,949.78,Major,Retained,0,,3724.4,1429.86,741.86,1147.96,657.16
97,2022-01-08,2025-04-20,19,78559.42,4134.706316,12333.5,Principal,Retained,0,,0,25835.78,13319.86,33366.68,6037.1
98,2023-11-08,2025-03-11,5,18270.74,3654.148,5387.98,Major,Retained,0,,0,0,3383.52,12199.26,2687.96
99,2024-04-10,2024-11-26,4,73829.92,18457.48,28384.66,Principal,Lapsed,0,,0,0,0,73829.92,0
100,2025-04-22,2025-04-23,2,3755.14,1877.57,2641.46,Mid-level,Reactivated,0,,0,0,0,0,3755.14
101,2023-01-06,2024-12-19,7,1032718.44,147531.2057,226982.66,Principal,Lapsed,0,,0,0,450004.62,582713.82,0
102,2022-04-06,2024-10-10,8,30050.36,3756.295,6371,Principal,Lapsed,0,,0,11856,0,18194.36,0
103,2023-09-20,2025-02-07,23,361163.346,15702.75417,29093.08,Principal,Retained,0,,0,0,17147.98,296200.046,47815.32
104,2022-04-19,2024-11-14,7,8814.16,1259.165714,2683.4,Major,Lapsed,0,,0,2422.14,2096.84,4295.18,0
105,2024-07-15,2024-12-13,9,6339.04,704.3377778,1763.64,Major,Lapsed,0,,0,0,0,6339.04,0
106,2023-11-28,2025-04-29,8,9231.18,1153.8975,2397.34,Major,Retained,0,,0,0,2397.34,4697.74,2136.1
107,2021-11-22,2025-03-14,14,51840.34,3702.881429,12458.12,Principal,Retained,0,,3839.42,4323.3,7132.62,30683.18,5861.82
108,2021-04-15,2024-10-07,8,22624.68,2828.085,4705.74,Major,Lapsed,0,,1114.14,9127,0,12383.54,0
109,2024-11-02,2024-12-25,3,58502.5,19500.83333,36295.36,Principal,Lapsed,0,,0,0,0,58502.5,0
111,2021-08-24,2024-08-14,11,8487.072,771.552,1488.74,Major,Lapsed,0,,5713.992,0,1444.08,1329,0
112,2024-07-17,2025-05-24,8,8258.48,1032.31,1585.98,Major,Retained,0,,0,0,0,6916.96,1341.52
113,2022-04-19,2025-01-10,18,70601.68,3922.315556,7162.24,Principal,Retained,0,,0,9635.06,5432.08,45404.2,10130.34
114,2024-07-28,2025-01-31,5,6772.18,1354.436,2647.04,Major,Retained,0,,0,0,0,4908.78,1863.4
115,2022-11-16,2025-03-09,19,326622.7,17190.66842,43249.02,Principal,Retained,0,,0,13921.26,90137.4,196463.3,26100.74
116,2024-05-07,2025-03-18,26,79397.52,3053.750769,11427.02,Principal,Retained,0,,0,0,0,69480.36,9917.16
119,2021-07-13,2025-05-18,19,48464.6,2550.768421,4742.86,Principal,Retained,0,,2657.6,9638.78,5671.84,24706.12,5790.26
120,2021-07-13,2025-01-09,36,480820.154,13356.11539,31470.46,Principal,Retained,0,,141421.614,72095.8,17504.08,234384.08,15414.58
121,2022-08-25,2025-05-19,13,1348123.8,103701.8308,284966,Principal,Retained,0,,0,112677.18,39349.14,856502,339595.48
122,2021-06-07,2025-04-20,13,8820.54,678.5030769,1496.26,Major,Retained,1,,718.32,1378.72,980.32,4968.2,774.98
123,2024-02-01,2024-12-26,8,7893.32,986.665,2303.36,Major,Lapsed,0,,0,0,0,7893.32,0
125,2023-01-04,2025-05-17,12,203355.98,16946.33167,37658.42,Principal,Retained,1,,0,0,38582.22,104032.48,60741.28
126,2024-10-07,2025-02-12,11,6192.54,562.9581818,1222.06,Major,Retained,0,,0,0,0,3966.34,2226.2
128,2024-07-03,2025-03-12,3,9269.08,3089.693333,4861.58,Major,Retained,0,,0,0,0,7686.28,1582.8
129,2023-01-06,2025-04-23,25,135155.12,5406.2048,17812.08,Principal,Retained,1,,0,0,25733.9,99449.86,9971.36
130,2022-08-27,2025-01-31,15,56501.1,3766.74,7159.76,Principal,Retained,0,,0,9334.82,5729.94,37280.82,4155.52
131,2023-03-03,2025-03-26,15,66724.18,4448.278667,9505.48,Principal,Retained,0,,0,0,6798.52,53329.88,6595.78
132,2022-01-22,2025-03-22,16,274548.558,17159.28488,40682.054,Principal,Retained,0,,0,16890.74,64099.04,120907.154,72651.624
133,2023-08-01,2025-05-03,28,30338.56,1083.52,3091.24,Principal,Retained,0,,0,0,3737.36,22578.02,4023.18
134,2024-07-02,2025-03-15,7,33198.88,4742.697143,9320.58,Principal,Retained,0,,0,0,0,17708.28,15490.6
135,2021-11-22,2024-08-24,8,7371.6,921.45,1998.34,Major,Lapsed,0,,951,2718.94,3269.2,432.46,0
136,2023-08-03,2025-02-13,6,31048.66,5174.776667,7188.04,Principal,Retained,0,,0,0,4263.56,24539.74,2245.36
137,2021-06-13,2025-04-17,42,156171.638,3718.372333,8295.6,Principal,Retained,0,,47044.906,4924.54,50871.432,40180.32,13150.44
138,2024-09-26,2025-05-04,7,914289.64,130612.8057,325921.36,Principal,Retained,0,,0,0,0,294566.62,619723.02
140,2021-08-22,2025-05-20,63,274347.714,4354.725619,13854.9,Principal,Retained,0,,32791.776,35472.458,25838.62,143858.314,36386.546
141,2023-10-31,2025-05-05,26,90196.728,3469.104923,10483,Principal,Retained,0,,0,0,3543.34,74394.348,12259.04
142,2023-10-11,2025-05-17,11,73002.26,6636.569091,12148.48,Principal,Retained,1,,0,0,15756.98,32034.84,25210.44
143,2021-05-31,2024-12-25,10,7405.68,740.568,2317.38,Major,Lapsed,1,,1888.32,2673.26,0,2844.1,0
144,2023-05-05,2025-05-15,33,29483.756,893.4471515,1812.12,Principal,Retained,0,,0,0,5043.78,19275.136,5164.84
145,2023-03-06,2024-10-10,9,38011.72,4223.524444,10445.98,Principal,Lapsed,0,,0,0,6889.66,31122.06,0
146,2022-10-03,2025-02-05,5,10343.02,2068.604,3756.18,Major,Retained,0,,0,2108.66,2034.52,5273.16,926.68
148,2021-07-13,2025-02-10,8,28280.86,3535.1075,9721.72,Principal,Retained,0,,9691.24,0,1090.66,6299.96,11199
149,2022-08-24,2024-08-20,8,48219.7,6027.4625,12490.46,Principal,Lapsed,0,,0,4930.6,7813.24,35475.86,0
150,2025-04-21,2025-04-21,1,3778.76,3778.76,3778.76,Mid-level,Reactivated,0,,0,0,0,0,3778.76
151,2021-06-16,2024-10-10,19,458437.94,24128.31263,45206.14,Principal,Lapsed,0,,128871.2,17572.76,102735.12,209258.86,0
152,2021-04-12,2025-01-25,43,168817.86,3925.996744,10539.46,Principal,Retained,0,,52403.62,41959.98,9589.2,55149.64,9715.42
153,2022-11-30,2025-03-17,5,1840.06,368.012,833.46,Mid-level,Retained,0,,0,441.44,397.56,833.46,167.6
154,2023-03-03,2024-11-26,6,18011.4,3001.9,8187.76,Major,Lapsed,0,,0,0,1927.42,16083.98,0
155,2022-12-22,2025-04-20,10,7780.68,778.068,2380.2,Major,Retained,0,,0,711.16,465.02,6358.6,245.9
156,2024-03-07,2025-04-16,19,11964.484,629.7096842,1379.7,Major,Retained,0,,0,0,0,11063.244,901.24
157,2021-05-30,2025-03-07,34,136127.508,4003.750235,12233.72,Principal,Retained,0,,33611.22,10927.2,24792.1,28382.088,38414.9
158,2022-01-02,2025-02-09,12,10122.38,843.5316667,2648.32,Major,Retained,0,,0,6005.2,1886.24,1762.34,468.6
159,2025-05-04,2025-05-04,1,67662.56,67662.56,67662.56,Principal,Reactivated,0,,0,0,0,0,67662.56
160,2024-10-10,2025-05-01,6,4683.1,780.5166667,1212.5,Mid-level,Retained,0,,0,0,0,2749.48,1933.62
161,2021-04-12,2025-02-05,10,1471546.82,147154.682,387148.34,Principal,Retained,0,,406534,0,370498.82,627400.98,67113.02
162,2021-11-22,2025-04-22,21,3401316.5,161967.4524,507036.82,Principal,Retained,0,,191424.8,759381.62,213015.62,2094973.06,142521.4
163,2022-11-15,2024-10-10,6,126084.4,21014.06667,33573.44,Principal,Lapsed,0,,0,23921.28,37471.1,64692.02,0
164,2021-04-11,2025-05-23,16,10453.9,653.36875,1928.74,Major,Retained,0,,2850.9,2058.06,719.9,2896.3,1928.74
165,2023-01-04,2025-03-15,19,13116.5,690.3421053,1836.68,Major,Retained,0,,0,0,1773.14,10735.82,607.54
166,2021-08-24,2025-03-10,28,88802.834,3171.529786,7712.14,Principal,Retained,0,,22050.4,22804.274,6383.6,28948.34,8616.22
167,2022-08-24,2025-02-11,10,8420.5,842.05,1617.66,Major,Retained,0,,0,3807.76,0,4273.08,339.66
168,2023-03-05,2025-04-16,7,91334.96,13047.85143,18090.42,Principal,Retained,0,,0,0,33620.98,39828.42,17885.56
169,2024-02-24,2025-05-04,20,17621.374,881.0687,2303.38,Major,Retained,0,,0,0,0,10215.154,7406.22
171,2024-07-27,2024-11-11,3,2743.56,914.52,1889.02,Mid-level,Lapsed,0,,0,0,0,2743.56,0
172,2024-04-12,2025-01-25,14,209590.88,14970.77714,27008.72,Principal,Retained,0,,0,0,0,196612.96,12977.92
173,2023-05-18,2025-03-15,8,5082.94,635.3675,877.24,Major,Retained,0,,0,0,596.8,3840.06,646.08
174,2021-05-19,2025-01-27,15,2172762.06,144850.804,447600.78,Principal,Retained,0,,387009.5,223945.06,134585.54,1370904.26,56317.7
175,2024-02-24,2025-05-08,23,22903.82,995.8182609,2833.8,Major,Retained,0,,0,0,0,20224.02,2679.8
176,2024-12-14,2025-03-17,4,36808.56,9202.14,14977.82,Principal,Retained,0,,0,0,0,14977.82,21830.74
178,2022-04-19,2025-04-20,39,138830.94,3559.767692,11618.46,Principal,Retained,0,,0,26143.94,15891.56,79134.74,17660.7
179,2023-10-07,2025-02-11,20,84340.34,4217.017,9728.78,Principal,Retained,0,,0,0,4691.6,72445.26,7203.48
180,2024-01-28,2025-04-21,15,58036.18,3869.078667,9007.56,Principal,Retained,0,,0,0,0,51282.22,6753.96
181,2024-07-02,2024-12-08,3,514895.54,171631.8467,320098.52,Principal,Lapsed,0,,0,0,0,514895.54,0
182,2021-10-16,2025-04-19,11,9087.64,826.1490909,1914.8,Major,Retained,1,,344.16,979.22,2071.98,4570.86,1121.42
183,2024-11-26,2024-11-26,1,3568.84,3568.84,3568.84,Mid-level,Lapsed,0,,0,0,0,3568.84,0
184,2022-11-23,2025-02-03,12,17341.02,1445.085,2845.5,Major,Retained,0,,0,1187.06,4741.3,4578.76,6833.9
185,2022-04-03,2025-03-05,9,69295.62,7699.513333,12097.6,Principal,Retained,0,,0,8690.24,4778.66,50066.1,5760.62
186,2023-05-05,2024-10-10,10,37405.66,3740.566,9645.06,Principal,Lapsed,0,,0,0,26919.26,10486.4,0
188,2025-04-20,2025-04-20,1,747.52,747.52,747.52,General,Reactivated,0,,0,0,0,0,747.52
190,2021-08-21,2025-05-07,17,64090.14,3770.008235,6466.56,Principal,Retained,0,,7133.1,29341.8,5302.98,12731.22,9581.04
191,2024-03-03,2025-04-22,18,478100.78,26561.15444,71299.52,Principal,Retained,0,,0,0,0,425320.26,52780.52
192,2021-12-29,2025-05-06,12,59258.66,4938.221667,11799.1,Principal,Retained,0,,7514.02,0,5996.74,27658.72,18089.18
193,2023-01-04,2025-04-23,21,20680.04,984.7638095,3090.54,Major,Retained,0,,0,0,7936.02,11299.6,1444.42
194,2023-10-09,2024-10-10,8,46955.06,5869.3825,10810.2,Principal,Lapsed,1,,0,0,3171.92,43783.14,0
195,2023-08-13,2025-05-18,6,20834.36,3472.393333,6530.92,Major,Retained,0,,0,0,5693.68,8609.76,6530.92
196,2021-05-26,2025-05-05,34,129176.28,3799.302353,12375.38,Principal,Retained,0,,18403.58,6640.68,21492.9,74712.3,7926.82
197,2025-02-02,2025-04-23,5,952705.9,190541.18,311244.68,Principal,Reactivated,0,,0,0,0,0,952705.9
198,2024-07-02,2024-10-09,5,4382.54,876.508,1689.86,Mid-level,Lapsed,1,,0,0,0,4382.54,0
199,2022-08-22,2025-05-12,20,11977.7,598.885,1500.5,Major,Retained,0,,0,854.88,635.52,8143,2344.3
201,2023-04-29,2025-03-22,21,83949.04,3997.573333,9935.8,Principal,Retained,0,,0,0,17380.9,55406.3,11161.84
202,2024-08-09,2025-05-18,16,85896.3,5368.51875,14837.42,Principal,Retained,0,,0,0,0,80098.6,5797.7
203,2023-03-06,2025-04-23,22,4962031.3,225546.8773,586107.34,Principal,Retained,1,,0,0,207995.02,4635541.64,118494.64
204,2024-01-11,2025-04-23,9,6071.14,674.5711111,961.98,Major,Retained,0,,0,0,0,4572.86,1498.28
205,2023-09-29,2025-03-08,4,2128.66,532.165,844.24,Mid-level,Retained,0,,0,0,650.9,1244.8,232.96
206,2022-11-25,2025-03-15,11,8606.9,782.4454545,1198.54,Major,Retained,0,,0,1013.72,654.36,5476.56,1462.26
207,2023-08-07,2024-12-20,12,208480.18,17373.34833,31254.42,Principal,Lapsed,0,,0,0,54285.56,154194.62,0
208,2025-03-17,2025-04-18,3,7493.58,2497.86,3129.54,Major,Reactivated,1,,0,0,0,0,7493.58
209,2023-04-17,2025-04-21,26,97341.92,3743.92,12069.6,Principal,Retained,0,,0,0,28899.32,60251.62,8190.98
210,2024-07-15,2025-05-24,12,66097.52,5508.126667,12067.22,Principal,Retained,1,,0,0,0,43854.58,22242.94
211,2024-10-07,2025-03-11,5,139685.08,27937.016,56833.58,Principal,Retained,0,,0,0,0,109379.4,30305.68
212,2023-05-03,2025-05-13,18,51938.02,2885.445556,8480.04,Principal,Retained,0,,0,0,12063.6,27277.2,12597.22
213,2024-07-29,2024-10-10,2,495674.9,247837.45,304661.24,Principal,Lapsed,0,,0,0,0,495674.9,0
214,2022-04-06,2024-11-27,11,11004.78,1000.434545,1741.62,Major,Lapsed,0,,0,4019.46,0,6985.32,0
215,2022-04-19,2025-01-27,18,79044.9,4391.383333,10086.98,Principal,Retained,0,,0,5673.18,8731.92,63675,964.8
216,2021-08-24,2024-10-10,8,6053.02,756.6275,1375.74,Major,Lapsed,0,,863.36,1966.72,904.14,2318.8,0
217,2021-10-16,2024-11-27,8,34084,4260.5,9946.6,Principal,Lapsed,0,,2810.46,12215.66,14756.3,4301.58,0
218,2023-05-11,2025-03-16,19,74820.44,3937.917895,6293.98,Principal,Retained,0,,0,0,15331.52,47458.14,12030.78
219,2024-08-14,2025-01-31,6,8139.96,1356.66,2669.32,Major,Retained,0,,0,0,0,7206.8,933.16
220,2023-05-10,2025-04-23,7,99969.3,14281.32857,23998.98,Principal,Retained,0,,0,0,26135.22,40593.34,33240.74
221,2024-10-20,2024-11-25,2,1587.86,793.93,888.06,Mid-level,Lapsed,0,,0,0,0,1587.86,0
222,2022-10-02,2024-12-28,10,7988.5,798.85,2465.38,Major,Lapsed,1,,0,526.62,212.82,7249.06,0
223,2021-06-07,2025-04-21,40,174591.766,4364.79415,13744,Principal,Retained,0,,63112.84,21791.406,32673.002,36677.938,20336.58
224,2021-04-19,2024-12-20,28,27279.96,974.2842857,2495.4,Principal,Lapsed,0,,2406.24,1534.74,6647.98,16691,0
225,2023-01-30,2025-05-15,11,41881.46,3807.405455,7136.28,Principal,Retained,0,,0,0,7094.8,23713.82,11072.84
230,2023-01-01,2025-05-17,12,8886.6,740.55,1838.44,Major,Retained,0,,0,0,3778.24,2137.5,2970.86
231,2021-07-13,2024-12-27,45,186734.12,4149.647111,12975.92,Principal,Lapsed,0,,14419,16712.72,80468.22,75134.18,0
232,2024-07-03,2025-01-31,7,15958.66,2279.808571,3913.3,Major,Retained,0,,0,0,0,12045.36,3913.3
233,2023-11-29,2025-03-08,7,1048599.74,149799.9629,276830.38,Principal,Retained,0,,0,0,110514.26,561996.22,376089.26
234,2024-07-31,2025-03-09,9,6781.42,753.4911111,1145.12,Major,Retained,1,,0,0,0,4914.2,1867.22
235,2024-07-22,2025-01-29,5,79336.14,15867.228,30935.92,Principal,Retained,0,,0,0,0,48400.22,30935.92
236,2023-11-08,2024-10-10,7,8555.08,1222.154286,3207.82,Major,Lapsed,0,,0,0,368.86,8186.22,0
237,2024-11-23,2025-01-04,2,613,306.5,381.28,General,Retained,0,,0,0,0,381.28,231.72
238,2024-07-23,2025-05-22,6,21392.08,3565.346667,4959.64,Major,Retained,0,,0,0,0,13114.28,8277.8
239,2022-08-23,2024-12-10,20,75528.3,3776.415,11463.84,Principal,Lapsed,0,,0,3135.56,18677.14,53715.6,0
